# table produced by calculations.DamageProfiler
# using mapped file JK2782_rmdup.bam
# Sample ID: JK2782_rmdup.bam
# Std: strand of reads
Std	Length	Occurrences
+	31	1
+	32	1
+	33	1
+	34	3
+	35	1
+	36	2
+	37	2
+	38	1
+	39	2
+	40	2
+	41	3
+	42	1
+	43	10
+	44	5
+	45	6
+	46	7
+	47	11
+	48	12
+	49	11
+	50	9
+	51	5
+	52	15
+	53	8
+	54	5
+	55	13
+	56	11
+	57	6
+	58	5
+	59	11
+	60	12
+	61	7
+	62	6
+	63	11
+	64	7
+	65	9
+	66	12
+	67	3
+	68	10
+	69	7
+	70	8
+	71	9
+	72	6
+	73	8
+	74	9
+	75	12
+	76	8
+	77	9
+	78	6
+	79	8
+	80	3
+	81	8
+	82	10
+	83	6
+	84	9
+	85	5
+	86	3
+	87	7
+	88	11
+	89	9
+	90	9
+	91	6
+	92	8
+	93	2
+	94	3
+	95	3
+	96	4
+	97	4
+	98	5
+	99	5
+	100	4
+	101	5
+	102	2
+	103	1
+	104	6
+	105	1
+	106	2
+	107	5
+	108	4
+	109	4
+	110	1
+	111	1
+	112	3
+	113	2
+	114	4
+	115	1
+	116	2
+	117	2
+	118	2
+	119	2
+	120	2
+	122	3
+	123	3
+	124	3
+	125	4
+	126	2
+	127	1
+	129	6
+	130	2
+	131	3
+	134	1
+	135	1
+	138	2
+	140	1
+	142	3
+	143	1
+	146	1
+	149	2
+	151	2
+	152	1
+	153	1
+	154	1
+	155	3
+	156	1
+	157	2
+	160	1
+	161	2
+	166	1
+	169	1
+	170	2
+	171	1
+	173	1
+	175	1
+	178	1
+	179	1
+	181	2
+	184	1
+	185	2
+	190	2
+	197	1
+	198	1
+	199	2
+	207	1
+	209	1
+	216	1
+	222	1
+	223	1
-	32	1
-	36	2
-	38	2
-	39	2
-	40	3
-	41	2
-	42	4
-	43	3
-	44	3
-	45	6
-	46	7
-	47	7
-	48	6
-	49	9
-	50	10
-	51	7
-	52	4
-	53	11
-	54	5
-	55	3
-	56	10
-	57	10
-	58	9
-	59	11
-	60	5
-	61	11
-	62	10
-	63	11
-	64	6
-	65	7
-	66	6
-	67	16
-	68	5
-	69	13
-	70	9
-	71	5
-	72	10
-	73	10
-	74	5
-	75	7
-	76	8
-	77	6
-	78	10
-	79	2
-	80	4
-	81	16
-	82	2
-	83	8
-	84	3
-	85	9
-	86	4
-	87	8
-	88	8
-	89	5
-	90	6
-	91	10
-	92	9
-	93	1
-	94	5
-	95	2
-	96	6
-	97	6
-	98	8
-	99	4
-	100	4
-	101	3
-	102	2
-	103	3
-	104	5
-	105	5
-	106	1
-	107	1
-	108	6
-	109	5
-	110	2
-	111	5
-	112	3
-	113	3
-	114	3
-	115	1
-	116	2
-	117	2
-	118	3
-	119	3
-	121	1
-	122	7
-	123	2
-	124	7
-	125	2
-	126	2
-	127	4
-	129	5
-	130	3
-	131	3
-	132	1
-	133	4
-	134	1
-	137	4
-	139	1
-	140	1
-	141	2
-	143	2
-	145	2
-	146	1
-	147	2
-	149	1
-	150	1
-	152	1
-	154	1
-	155	1
-	158	1
-	159	1
-	160	2
-	167	1
-	171	1
-	172	1
-	174	1
-	175	1
-	176	1
-	178	2
-	179	1
-	183	1
-	185	1
-	190	1
-	192	1
-	205	2
-	206	1
-	214	1
-	232	1
