Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
RAP1_IAA_30M_REP1	94470	94470	0.0	0.000221182311149673	0.127819	0.88	45767.0	82.76278183550333	80.98925251547597	40165	0.009064916	2934.0	91536.0	100.0	99.99781506729593	0.004369865408145429	91536.0	90.44	44853.0											
RAP1_IAA_30M_REP1_1																				65.4	40.0	101.0	20.0	50000.0	1.760732673267327	64.61408688317167	40.0	98.59862224096725	20.0	49791.0
RAP1_IAA_30M_REP1_2																				65.928	40.0	101.0	20.0	50000.0	2.15380198019802	65.02982466710851	40.0	98.56476069972484	20.0	49791.0
RAP1_UNINDUCED_REP1	48977	48977	0.0	0.00305609564378011	0.760673	0.95	47713.0	0.0	81.50596083760578	39585	0.0116706	1264.0	47713.0	100.0	0.0	0.023054513444973068	47713.0	95.96	46603.0	65.292	40.0	101.0	20.0	50000.0	1.978910891089109	64.30586963917628	40.0	98.3858392203166	20.0	49969.0
RAP1_UNINDUCED_REP2	98201	98201	0.0	0.00387717731263599	0.823524	0.94	95843.0	0.0	80.77907714993754	78884	0.01174968	2358.0	95843.0	100.0	0.0	0.008346984130296421	95843.0	95.85	93598.0	72.74	40.0	101.0	20.0	100000.0	1.8582475247524752	71.79582078802852	40.0	98.47891888647708	20.0	99971.0
WT_REP1	187107	187107	0.0	0.00113530553555538	0.213102	1.07	90298.0	74.19177262208255	79.8851095993953	79266	0.009786972	6508.0	180599.0	100.0	99.998338861234	0.017718813503950742	180599.0	88.99	88305.0											
WT_REP1_1																				75.072	40.0	101.0	20.0	100000.0	1.8528712871287127	74.12168812646888	40.0	98.49934716670349	20.0	99566.0
WT_REP1_2																				74.463	40.0	101.0	20.0	100000.0	2.2733366336633662	73.4557981640319	40.0	98.47106441958098	20.0	99566.0
WT_REP2	93895	93895	0.0	0.000191469410841821	0.134309	1.17	45354.0	81.73172160391927	79.8127182095215	39548	0.009263095	3186.0	90709.0	100.0	99.9988975735594	0.01984367593072352	90709.0	89.54	44368.0											
WT_REP2_1																				67.856	40.0	101.0	20.0	50000.0	1.9158415841584158	66.88906752411576	40.0	98.44557877813504	20.0	49760.0
WT_REP2_2																				66.176	40.0	101.0	20.0	50000.0	2.371069306930693	65.12861736334405	40.0	98.39039389067524	20.0	49760.0
