UniqueCount	AmbigCount
2	0
0	0
2	0
0	0
1	0
0	0
0	1
1	0
0	0
0	0
0	0
2	3
17	0
30	0
50	0
0	0
18	0
23	0
0	0
62	0
6	0
4	0
116	0
40	0
29	0
18	0
0	0
20	0
2	0
0	0
6	0
34	0
67	0
0	0
145	0
61	0
35	0
10	0
5790	0
1	0
0	0
4	0
54	0
414	0
0	0
8	0
18	0
13	0
15	0
0	0
39	0
14	0
177	0
10	0
11	0
12	0
123	0
0	0
19	0
50	0
307	0
42	0
107	0
12	0
0	0
105	0
0	0
102	0
0	0
0	0
151	0
13	0
15	0
8	0
254	0
10	0
11	0
16	0
15	0
51	0
0	0
6371	0
1	0
705	0
3	0
37	0
57	0
57	0
68	0
27	0
58	0
9	0
17463	0
6163	0
0	0
57	0
55	0
20	0
21	0
0	0
0	0
1	0
0	0
1	0
27	0
19	0
1	0
2	0
19	0
2	0
2	0
0	0
104	0
0	0
3	2
0	0
1	0
0	0
1	0
0	0
3	0
12	0
0	0
0	0
0	0
