UniqueCount	AmbigCount
1	0
0	0
5	0
0	0
3	0
0	0
2	0
0	0
0	0
0	0
1	0
18	10
17	0
19	0
51	0
0	15
8	15
26	1
1	1
49	0
2	0
13	0
129	0
58	0
37	0
20	1
0	1
23	0
3	0
0	3
0	3
57	0
67	0
0	18
128	18
65	0
44	0
23	0
2548	3793
50	3793
0	0
5	0
58	0
479	0
0	0
2	0
16	0
12	0
14	0
0	1
39	1
14	0
176	0
8	0
11	0
12	0
152	14
2	14
29	0
52	0
321	0
36	0
102	0
5	3
0	3
111	0
0	0
113	0
1	0
8	6
155	6
12	0
19	0
18	0
232	0
25	0
12	0
15	0
17	0
56	0
0	0
3980	1755
0	1755
814	0
8	0
32	0
72	0
60	0
77	0
17	0
67	0
14	0
16424	0
6187	0
0	0
61	0
63	0
14	0
34	0
0	0
0	0
1	0
0	0
0	0
34	0
13	0
2	0
0	0
12	0
16	0
5	0
0	0
105	0
0	0
12	10
0	0
0	0
0	0
3	0
2	0
13	0
16	0
0	0
0	0
0	0
