UniqueCount	AmbigCount
1	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
13	0
5	0
27	0
0	0
21	0
28	0
0	0
39	0
2	0
1	0
68	0
39	0
14	0
10	0
0	0
14	0
8	0
0	0
4	0
26	0
43	0
0	0
105	0
51	0
38	0
6	0
6472	0
0	0
0	0
1	0
51	0
393	0
0	0
6	0
8	0
7	0
15	0
0	0
15	0
9	0
140	0
4	0
2	0
5	1
124	1
0	0
21	0
47	0
252	0
27	0
82	0
2	0
0	0
86	0
0	0
60	0
0	0
0	0
106	0
6	0
18	0
10	0
239	1
17	0
10	0
5	0
4	0
51	0
0	0
4485	0
1	0
782	0
8	0
26	0
30	0
40	0
67	0
15	0
45	0
5	0
18319	1
6580	0
0	0
50	0
43	0
14	0
20	0
0	0
0	0
1	0
0	0
0	0
21	0
12	0
0	0
0	0
9	0
3	0
2	0
0	0
77	0
0	0
8	1
0	0
1	0
0	0
0	0
0	0
11	0
7	0
1	0
0	0
0	0
