gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
HRA1	HRA1	0	12.081	0	0	0
snR18	snR18	3	8	4	8	8
tA(UGC)A	TGA1	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0
tP(UGG)A	TRN1	0	0	0	1	0
tS(AGA)A	tS(AGA)A	1	0	0	0	0
YAL001C	TFC3	57	72	115	59	30
YAL002W	VPS8	37	32	82	63	26
YAL003W	EFB1	705	814	1704	1283	782
YAL004W	YAL004W	1	132.816	0	0	1
YAL005C	SSA1	6371	5602.184	11936	8638.473	4485
YAL007C	ERP2	51	56	132	66	51
YAL008W	FUN14	15	17	24	10	4
YAL009W	SPO7	16	15	19	10	5
YAL010C	MDM10	11	12	36	30	10
YAL011W	SWC3	10	25	37	20	17
YAL012W	CYS3	254	232	533	404	239.017
YAL013W	DEP1	8	18	35	22	10
YAL014C	SYN8	15	19	42	32	18
YAL015C	NTG1	13	12	28	9	6
YAL016C-A	YAL016C-A	0	13.999	0	0	0
YAL016C-B	YAL016C-B	0	1	0	0	0
YAL016W	TPD3	151	155.001	325	199	106
YAL017W	PSK1	102	113	207	103	60
YAL018C	LDS1	0	0	0	0	0
YAL019W	FUN30	105	111	238	192	86
YAL019W-A	YAL019W-A	0	1.631	0	0	0
YAL020C	ATS1	12	6.369	18	12	2
YAL021C	CCR4	107	102	201	141	82
YAL022C	FUN26	42	36	85	56	27
YAL023C	PMT2	307	321	657	439	252
YAL024C	LTE1	50	52	99	71	47
YAL025C	MAK16	19	29	54	51	21
YAL026C	DRS2	123	155.919	314.989	183.431	124.641
YAL026C-A	YAL026C-A	12	12	19.011	14.569	5.359
YAL027W	SAW1	11	11	20	5	2
YAL028W	FRT2	10	8	19	4	4
YAL029C	MYO4	177	176	358	245	140
YAL030W	SNC1	14	14	40	19	9
YAL031C	GIP4	39	40	72	37	15
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	15	14	36	19	15
YAL033W	POP5	13	12	24	19	7
YAL034C	FUN19	18	16	44	12	8
