YAL069W	YAL069W	YAL069W
YAL068W-A	YAL068W-A	YAL068W-A
YAL068C	YAL068C	PAU8
YAL067W-A	YAL067W-A	YAL067W-A
YAL067C	YAL067C	SEO1
YAL066W	YAL066W	YAL066W
YAL065C	YAL065C	YAL065C
YAL064W-B	YAL064W-B	YAL064W-B
YAL064C-A	YAL064C-A	TDA8
YAL064W	YAL064W	YAL064W
YAL063C-A	YAL063C-A	YAL063C-A
YAL063C	YAL063C	FLO9
YAL062W	YAL062W	GDH3
YAL061W	YAL061W	BDH2
YAL060W	YAL060W	BDH1
YAL059C-A	YAL059C-A	YAL059C-A
YAL059W	YAL059W	ECM1
YAL058W	YAL058W	CNE1
YAL056C-A	YAL056C-A	YAL056C-A
YAL056W	YAL056W	GPB2
YAL055W	YAL055W	PEX22
YAL054C	YAL054C	ACS1
YAL053W	YAL053W	FLC2
YAL051W	YAL051W	OAF1
YAL049C	YAL049C	AIM2
YAL048C	YAL048C	GEM1
YAL047W-A	YAL047W-A	YAL047W-A
YAL047C	YAL047C	SPC72
YAL046C	YAL046C	AIM1
YAL045C	YAL045C	YAL045C
YAL044W-A	YAL044W-A	YAL044W-A
YAL044C	YAL044C	GCV3
YAL043C	YAL043C	PTA1
YAL042C-A	YAL042C-A	YAL042C-A
YAL042W	YAL042W	ERV46
YAL041W	YAL041W	CDC24
YAL040C	YAL040C	CLN3
YAL039C	YAL039C	CYC3
YAL038W	YAL038W	CDC19
YAL037C-B	YAL037C-B	YAL037C-B
YAL037C-A	YAL037C-A	YAL037C-A
YAL037W	YAL037W	YAL037W
YAL036C	YAL036C	RBG1
YAL035W	YAL035W	FUN12
YAL034C-B	YAL034C-B	YAL034C-B
YAL034W-A	YAL034W-A	MTW1
YAL034C	YAL034C	FUN19
YAL033W	YAL033W	POP5
YAL032C	YAL032C	PRP45
YAL031W-A	YAL031W-A	YAL031W-A
YAL031C	YAL031C	GIP4
YAL030W	YAL030W	SNC1
YAL029C	YAL029C	MYO4
YAL028W	YAL028W	FRT2
YAL027W	YAL027W	SAW1
YAL026C-A	YAL026C-A	YAL026C-A
YAL026C	YAL026C	DRS2
HRA1	HRA1	HRA1
YAL025C	YAL025C	MAK16
YAL024C	YAL024C	LTE1
YAL023C	YAL023C	PMT2
YAL022C	YAL022C	FUN26
YAL021C	YAL021C	CCR4
YAL020C	YAL020C	ATS1
YAL019W-A	YAL019W-A	YAL019W-A
YAL019W	YAL019W	FUN30
YAL018C	YAL018C	LDS1
YAL017W	YAL017W	PSK1
YAL016C-B	YAL016C-B	YAL016C-B
YAL016C-A	YAL016C-A	YAL016C-A
YAL016W	YAL016W	TPD3
YAL015C	YAL015C	NTG1
YAL014C	YAL014C	SYN8
YAL013W	YAL013W	DEP1
YAL012W	YAL012W	CYS3
YAL011W	YAL011W	SWC3
YAL010C	YAL010C	MDM10
YAL009W	YAL009W	SPO7
YAL008W	YAL008W	FUN14
YAL007C	YAL007C	ERP2
tP(UGG)A	tP(UGG)A	TRN1
YAL005C	YAL005C	SSA1
YAL004W	YAL004W	YAL004W
YAL003W	YAL003W	EFB1
snR18	snR18	snR18
YAL002W	YAL002W	VPS8
YAL001C	YAL001C	TFC3
YAR002W	YAR002W	NUP60
YAR002C-A	YAR002C-A	ERP1
YAR003W	YAR003W	SWD1
YAR007C	YAR007C	RFA1
YAR008W	YAR008W	SEN34
YAR009C	YAR009C	YAR009C
YAR010C	YAR010C	YAR010C
tA(UGC)A	tA(UGC)A	TGA1
YAR014C	YAR014C	BUD14
YAR015W	YAR015W	ADE1
YAR018C	YAR018C	KIN3
YAR019C	YAR019C	CDC15
YAR019W-A	YAR019W-A	YAR019W-A
YAR020C	YAR020C	PAU7
YAR023C	YAR023C	YAR023C
tL(CAA)A	tL(CAA)A	SUP56
tS(AGA)A	tS(AGA)A	tS(AGA)A
YAR027W	YAR027W	UIP3
YAR028W	YAR028W	YAR028W
YAR029W	YAR029W	YAR029W
YAR030C	YAR030C	YAR030C
YAR031W	YAR031W	PRM9
YAR033W	YAR033W	MST28
YAR035W	YAR035W	YAT1
YAR035C-A	YAR035C-A	YAR035C-A
YAR042W	YAR042W	SWH1
YAR047C	YAR047C	YAR047C
YAR050W	YAR050W	FLO1
YAR053W	YAR053W	YAR053W
YAR060C	YAR060C	YAR060C
YAR061W	YAR061W	YAR061W
YAR062W	YAR062W	YAR062W
YAR064W	YAR064W	YAR064W
YAR066W	YAR066W	YAR066W
YAR068W	YAR068W	YAR068W
YAR069C	YAR069C	YAR069C
YAR070C	YAR070C	YAR070C
Gfp_transgene_gene	Gfp_transgene_gene	Gfp_transgene_gene
