UniqueCount	AmbigCount
0	0
0	0
3	0
0	0
1	0
0	0
0	1
1	0
0	0
0	0
0	0
3	3
13	0
9	0
43	0
0	0
33	0
39	0
0	0
72	0
1	0
5	0
133	0
82	0
34	0
26	0
0	0
19	0
8	0
0	0
7	0
47	0
77	0
0	0
168	0
89	0
50	0
12	0
10309	8
0	0
0	0
4	0
82	0
759	2
0	0
5	0
11	0
18	0
18	0
0	0
36	0
15	0
241	0
4	0
5	0
13	3
179	3
0	0
50	0
69	0
432	0
54	0
135	2
12	0
0	0
186	0
0	0
100	2
0	0
0	0
194	0
8	0
28	0
21	0
384	2
19	0
30	0
9	0
10	0
61	0
1	0
8178	84
0	0
1114	2
8	0
63	0
60	0
61	0
85	0
22	0
94	2
4	0
36258	360
13437	66
0	0
68	0
91	0
25	0
26	0
0	0
0	0
2	0
0	0
0	0
26	0
16	0
0	0
1	0
12	0
5	0
12	0
0	0
126	2
1	0
12	2
0	0
0	0
0	0
1	0
0	0
5	0
4	2
0	0
0	0
0	0
