## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT WT_REP2.sorted.bam --OUTPUT WT_REP2.markdup.sorted.bam --METRICS_FILE WT_REP2.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome_gfp.fasta --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 08 17:49:59 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1	45354	3186	0	1	6091	0	0.134309	153371

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	35206	35206
2.0	1.743999	2930	2930
3.0	2.297535	690	690
4.0	2.709365	238	238
5.0	3.015767	86	86
6.0	3.24373	52	52
7.0	3.413335	27	27
8.0	3.539521	11	11
9.0	3.633403	9	9
10.0	3.703251	5	5
11.0	3.755218	2	2
12.0	3.793882	4	4
13.0	3.822647	0	0
14.0	3.844049	1	1
15.0	3.859972	1	1
16.0	3.871818	0	0
17.0	3.880632	1	1
18.0	3.88719	0	0
19.0	3.892069	0	0
20.0	3.895698	0	0
21.0	3.898399	0	0
22.0	3.900408	0	0
23.0	3.901903	0	0
24.0	3.903015	0	0
25.0	3.903843	0	0
26.0	3.904458	0	0
27.0	3.904916	0	0
28.0	3.905257	0	0
29.0	3.905511	0	0
30.0	3.905699	0	0
31.0	3.90584	0	0
32.0	3.905944	0	0
33.0	3.906022	0	0
34.0	3.90608	0	0
35.0	3.906123	0	0
36.0	3.906155	0	0
37.0	3.906178	0	0
38.0	3.906196	0	0
39.0	3.906209	0	0
40.0	3.906219	0	0
41.0	3.906226	0	0
42.0	3.906232	0	0
43.0	3.906236	0	0
44.0	3.906239	0	0
45.0	3.906241	0	0
46.0	3.906243	0	0
47.0	3.906244	0	0
48.0	3.906245	0	0
49.0	3.906246	0	0
50.0	3.906246	0	0
51.0	3.906247	0	0
52.0	3.906247	0	0
53.0	3.906247	0	0
54.0	3.906247	0	0
55.0	3.906247	0	0
56.0	3.906247	0	0
57.0	3.906247	0	0
58.0	3.906247	0	0
59.0	3.906248	0	0
60.0	3.906248	0	0
61.0	3.906248	0	0
62.0	3.906248	0	0
63.0	3.906248	0	0
64.0	3.906248	0	0
65.0	3.906248	0	0
66.0	3.906248	0	0
67.0	3.906248	0	0
68.0	3.906248	0	0
69.0	3.906248	0	0
70.0	3.906248	0	0
71.0	3.906248	0	0
72.0	3.906248	0	0
73.0	3.906248	0	0
74.0	3.906248	0	0
75.0	3.906248	0	0
76.0	3.906248	0	0
77.0	3.906248	0	0
78.0	3.906248	0	0
79.0	3.906248	0	0
80.0	3.906248	0	0
81.0	3.906248	0	0
82.0	3.906248	0	0
83.0	3.906248	0	0
84.0	3.906248	0	0
85.0	3.906248	0	0
86.0	3.906248	0	0
87.0	3.906248	0	0
88.0	3.906248	0	0
89.0	3.906248	0	0
90.0	3.906248	0	0
91.0	3.906248	0	0
92.0	3.906248	0	0
93.0	3.906248	0	0
94.0	3.906248	0	0
95.0	3.906248	0	0
96.0	3.906248	0	0
97.0	3.906248	0	0
98.0	3.906248	0	0
99.0	3.906248	0	0
100.0	3.906248	0	0

