gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
HRA1	HRA1	0	8.579	0	0	0
snR18	snR18	3	8	4	8	8
tA(UGC)A	TGA1	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0
tP(UGG)A	TRN1	0	0	0	1	0
tS(AGA)A	tS(AGA)A	1	0	0	0	0
YAL001C	TFC3	55	72	115	60	30
YAL002W	VPS8	36	33	82	63	25
YAL003W	EFB1	632	810	1693	1115	704
YAL004W	YAL004W	1	342.011	1	0	1
YAL005C	SSA1	6174	6003.989	13355	8218	4279
YAL007C	ERP2	46	56	132	61	44
YAL008W	FUN14	14	17	24	10	3
YAL009W	SPO7	14	15	19	9	5
YAL010C	MDM10	11	12	36	30	10
YAL011W	SWC3	10	25	36	19	17
YAL012W	CYS3	247	232	536	385	230
YAL013W	DEP1	8	18	35	21	10
YAL014C	SYN8	16	20	43	28	17
YAL015C	NTG1	12	12	28	8	6
YAL016C-A	YAL016C-A	0	13.999	0	0	0
YAL016C-B	YAL016C-B	0	1	0	0	0
YAL016W	TPD3	148	154.001	326	194	104
YAL017W	PSK1	100	114	210	101	60
YAL018C	LDS1	0	0	0	0	0
YAL019W	FUN30	101	111	238	186	84
YAL019W-A	YAL019W-A	0	2.894	0	0	0
YAL020C	ATS1	12	5.106	18	12	2
YAL021C	CCR4	105	102	203	136	79
YAL022C	FUN26	42	36	86	54	27
YAL023C	PMT2	302	323	659	432	244
YAL024C	LTE1	49	52	99	69	46
YAL025C	MAK16	19	29	56	50	21
YAL026C	DRS2	122	159.421	314.989	180.411	123.639
YAL026C-A	YAL026C-A	12	12	19.011	14.589	5.361
YAL027W	SAW1	10	11	20	5	2
YAL028W	FRT2	9	8	19	4	4
YAL029C	MYO4	178	177	359	241	139
YAL030W	SNC1	14	14	40	15	8
YAL031C	GIP4	38	40	72	36	15
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	14	14	37	18	13
YAL033W	POP5	13	12	24	18	7
YAL034C	FUN19	16	16	44	11	6
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	8	2	25	5	6
YAL035W	FUN12	409	482	872	760	390
YAL036C	RBG1	49	59	147	82	48
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037C-B	YAL037C-B	1	268.642	3	0	0
YAL037W	YAL037W	4	5	10	4	1
YAL038W	CDC19	5710	6158.358	13457	10313	6339
YAL039C	CYC3	9	23	39	12	5
YAL040C	CLN3	34	44	92	50	36
YAL041W	CDC24	61	65	140	89	50
YAL042C-A	YAL042C-A	0	12.591	0	0	0
YAL042W	ERV46	141	133.409	291	168	102
YAL043C	PTA1	63	67	135	77	44
YAL044C	GCV3	33	58	123	47	25
YAL044W-A	YAL044W-A	5	0	14	7	3
YAL045C	YAL045C	0	3	1	0	0
YAL046C	AIM1	2	3	7	8	6
YAL047C	SPC72	20	23	40	19	14
YAL047W-A	YAL047W-A	0	1	0	0	0
YAL048C	GEM1	18	20	46	26	10
YAL049C	AIM2	26	37	65	34	12
YAL051W	OAF1	38	60	119	82	39
YAL053W	FLC2	116	129	262	133	68
YAL054C	ACS1	3	13	7	5	1
YAL055W	PEX22	6	2	5	1	2
YAL056C-A	YAL056C-A	0	1	0	0	0
YAL056W	GPB2	61	49	133	72	38
YAL058W	CNE1	23	27	49	39	27
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	ECM1	17	23	42	33	20
YAL060W	BDH1	49	53	114	43	29
YAL061W	BDH2	30	19	82	9	5
YAL062W	GDH3	5	27	37	13	4
YAL063C	FLO9	4.653	23.281	13.249	4.535	1.11
YAL063C-A	YAL063C-A	0	1	1	0	0
YAL064C-A	TDA8	0	0	0	0	0
YAL064W	YAL064W	0	0	2	0	0
YAL064W-B	YAL064W-B	1	0	1	1	0
YAL065C	YAL065C	0	2	0	0	0
YAL066W	YAL066W	0	0	0	0	0
YAL067C	SEO1	1	3	4	1	0
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL068C	PAU8	2	5	15	3	1
YAL068W-A	YAL068W-A	1	0	1	0	0
YAL069W	YAL069W	2	1	1	0	0
YAR002C-A	ERP1	64	78	156	85	64
YAR002W	NUP60	57	60	121	61	40
