tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	2	1	1	0	0
YAL068W-A	YAL068W-A	1	0	1	0	0
YAL068C	YAL068C	2	5	15	3	1
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL067C	YAL067C	1	3	4	1	0
YAL066W	YAL066W	0	0	0	0	0
YAL065C	YAL065C	0	2	0	0	0
YAL064W-B	YAL064W-B	1	0	1	1	0
YAL064C-A	YAL064C-A	0	0	0	0	0
YAL064W	YAL064W	0	0	2	0	0
YAL063C-A	YAL063C-A	0	1	1	0	0
YAL063C	YAL063C	4.653	23.281	13.249	4.535	1.11
YAL062W	YAL062W	5	27	37	13	4
YAL061W	YAL061W	30	19	82	9	5
YAL060W	YAL060W	49	53	114	43	29
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	YAL059W	17	23	42	33	20
YAL058W	YAL058W	23	27	49	39	27
YAL056C-A	YAL056C-A	0	1	0	0	0
YAL056W	YAL056W	61	49	133	72	38
YAL055W	YAL055W	6	2	5	1	2
YAL054C	YAL054C	3	13	7	5	1
YAL053W	YAL053W	116	129	262	133	68
YAL051W	YAL051W	38	60	119	82	39
YAL049C	YAL049C	26	37	65	34	12
YAL048C	YAL048C	18	20	46	26	10
YAL047W-A	YAL047W-A	0	1	0	0	0
YAL047C	YAL047C	20	23	40	19	14
YAL046C	YAL046C	2	3	7	8	6
YAL045C	YAL045C	0	3	1	0	0
YAL044W-A	YAL044W-A	5	0	14	7	3
YAL044C	YAL044C	33	58	123	47	25
YAL043C	YAL043C	63	67	135	77	44
YAL042C-A	YAL042C-A	0	12.591	0	0	0
YAL042W	YAL042W	141	133.409	291	168	102
YAL041W	YAL041W	61	65	140	89	50
YAL040C	YAL040C	34	44	92	50	36
YAL039C	YAL039C	9	23	39	12	5
YAL038W	YAL038W	5710	6158.358	13457	10313	6339
YAL037C-B	YAL037C-B	1	268.642	3	0	0
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037W	YAL037W	4	5	10	4	1
YAL036C	YAL036C	49	59	147	82	48
YAL035W	YAL035W	409	482	872	760	390
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	YAL034W-A	8	2	25	5	6
YAL034C	YAL034C	16	16	44	11	6
YAL033W	YAL033W	13	12	24	18	7
YAL032C	YAL032C	14	14	37	18	13
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL031C	YAL031C	38	40	72	36	15
YAL030W	YAL030W	14	14	40	15	8
YAL029C	YAL029C	178	177	359	241	139
YAL028W	YAL028W	9	8	19	4	4
YAL027W	YAL027W	10	11	20	5	2
YAL026C-A	YAL026C-A	12	12	19.011	14.589	5.361
YAL026C	YAL026C	122	159.421	314.989	180.411	123.639
HRA1	HRA1	0	8.579	0	0	0
YAL025C	YAL025C	19	29	56	50	21
YAL024C	YAL024C	49	52	99	69	46
YAL023C	YAL023C	302	323	659	432	244
YAL022C	YAL022C	42	36	86	54	27
YAL021C	YAL021C	105	102	203	136	79
YAL020C	YAL020C	12	5.106	18	12	2
YAL019W-A	YAL019W-A	0	2.894	0	0	0
YAL019W	YAL019W	101	111	238	186	84
YAL018C	YAL018C	0	0	0	0	0
YAL017W	YAL017W	100	114	210	101	60
YAL016C-B	YAL016C-B	0	1	0	0	0
YAL016C-A	YAL016C-A	0	13.999	0	0	0
YAL016W	YAL016W	148	154.001	326	194	104
YAL015C	YAL015C	12	12	28	8	6
YAL014C	YAL014C	16	20	43	28	17
YAL013W	YAL013W	8	18	35	21	10
YAL012W	YAL012W	247	232	536	385	230
YAL011W	YAL011W	10	25	36	19	17
YAL010C	YAL010C	11	12	36	30	10
YAL009W	YAL009W	14	15	19	9	5
YAL008W	YAL008W	14	17	24	10	3
YAL007C	YAL007C	46	56	132	61	44
tP(UGG)A	tP(UGG)A	0	0	0	1	0
YAL005C	YAL005C	6174	6003.989	13355	8218	4279
YAL004W	YAL004W	1	342.011	1	0	1
YAL003W	YAL003W	632	810	1693	1115	704
snR18	snR18	3	8	4	8	8
YAL002W	YAL002W	36	33	82	63	25
YAL001C	YAL001C	55	72	115	60	30
YAR002W	YAR002W	57	60	121	61	40
YAR002C-A	YAR002C-A	64	78	156	85	64
YAR003W	YAR003W	27	17	35	22	14
YAR007C	YAR007C	56	67	126	95	45
YAR008W	YAR008W	8	14	18	4	5
YAR009C	YAR009C	16523	17154	33244	36435	17184
YAR010C	YAR010C	5741	6178	11826	13470	6132
tA(UGC)A	tA(UGC)A	0	0	0	0	0
YAR014C	YAR014C	55	61	168	68	50
YAR015W	YAR015W	53	63	151	91	39
YAR018C	YAR018C	20	14	28	25	14
YAR019C	YAR019C	21	35	72	26	18
YAR019W-A	YAR019W-A	0	0	0	0	0
YAR020C	YAR020C	0	0	0	0	0
YAR023C	YAR023C	1	1	5	2	0
tL(CAA)A	tL(CAA)A	0	0	0	0	0
tS(AGA)A	tS(AGA)A	1	0	0	0	0
YAR027W	YAR027W	25	34	74	26	19
YAR028W	YAR028W	18	13	56	16	11
YAR029W	YAR029W	1	2	4	0	0
YAR030C	YAR030C	2	0	2	1	0
YAR031W	YAR031W	17	15	42	12	9
YAR033W	YAR033W	1	17	20	5	4
YAR035W	YAR035W	2	5	4	12	2
YAR035C-A	YAR035C-A	0	0	0	0	0
YAR042W	YAR042W	104	105	198	127	75
YAR047C	YAR047C	0	0	2	1	0
YAR050W	YAR050W	4.347	15.719	13.751	13.465	6.89
YAR053W	YAR053W	0	0	0	0	0
YAR060C	YAR060C	1	0	4	0	1
YAR061W	YAR061W	0	0	0	0	0
YAR062W	YAR062W	1	3	2	1	0
YAR064W	YAR064W	0	2	0	0	0
YAR066W	YAR066W	3	13	8	5	11
YAR068W	YAR068W	9	28	24	5	7
YAR069C	YAR069C	0	0	0	0	1
YAR070C	YAR070C	0	0	0	0	0
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
