Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL069W	YAL069W	I	+	335	649	0.242566	56.804165	111.650215
YAL068W-A	YAL068W-A	I	+	538	792	0.084674	19.828978	38.974422
YAL068C	PAU8	I	-	1807	2169	1.460055	341.916046	672.045776
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.169473	39.687233	78.006386
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.519380	121.628532	239.064346
YAL064W-B	YAL064W-B	I	+	12046	12426	0.000000	0.000000	0.000000
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.343643	80.474403	158.174744
YAL063C	FLO9	I	-	24000	27968	0.500837	117.286140	230.529266
YAL062W	GDH3	I	+	31567	32940	1.621786	379.790253	746.488586
YAL061W	BDH2	I	+	33448	34701	1.517544	355.378845	698.507263
YAL060W	BDH1	I	+	35155	36303	4.877285	1142.163818	2244.955566
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	3.998435	936.354553	1840.431519
YAL058W	CNE1	I	+	37464	38972	1.880888	440.466797	865.750122
YAL056C-A	YAL056C-A	I	-	38696	39046	0.093275	21.843163	42.933361
YAL056W	GPB2	I	+	39259	41901	1.951949	457.107910	898.458679
YAL055W	PEX22	I	+	42177	42719	0.372007	87.116692	171.230347
YAL054C	ACS1	I	-	42881	45022	0.605976	141.907608	278.923462
YAL053W	FLC2	I	+	45899	48250	5.604167	1312.385254	2579.530762
YAL051W	OAF1	I	+	48564	51707	1.956266	458.118866	900.445740
YAL049C	AIM2	I	-	51855	52595	5.600540	1311.535889	2577.861328
YAL048C	GEM1	I	-	52801	54789	1.061558	248.595917	488.622375
YAL047W-A	YAL047W-A	I	+	54584	54913	0.007760	1.817239	3.571835
YAL047C	SPC72	I	-	54989	56857	1.253077	293.445892	576.776245
YAL046C	AIM1	I	-	57029	57385	1.535014	359.469971	706.548462
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	1.474475	345.292938	678.683105
YAL044C	GCV3	I	-	57950	58462	13.555555	3174.443359	6239.458984
YAL043C	PTA1	I	-	58695	61052	2.873622	672.945496	1322.693604
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	11.997195	2809.506104	5522.164551
YAL041W	CDC24	I	+	62840	65404	2.549318	596.999939	1173.420410
YAL040C	CLN3	I	-	65778	67520	2.522088	590.623169	1160.886719
YAL039C	CYC3	I	-	68716	69525	2.914815	682.592102	1341.654297
YAL038W	CDC19	I	+	71786	73288	399.602722	93579.062500	183932.328125
YAL037C-B	YAL037C-B	I	-	72326	73300	53.098755	12434.679688	24440.718750
YAL037C-A	YAL037C-A	I	-	73426	73518	0.935484	219.071869	430.592041
YAL037W	YAL037W	I	+	74020	74823	0.836831	195.969284	385.183258
YAL036C	RBG1	I	-	75043	76152	5.415316	1268.160034	2492.604736
YAL035W	FUN12	I	+	76427	79435	16.169325	3786.536377	7442.545898
YAL034C-B	YAL034C-B	I	-	79489	79842	1.048023	245.426285	482.392395
YAL034W-A	MTW1	I	+	79718	80587	0.236422	55.365364	108.822205
YAL034C	FUN19	I	-	80710	81951	1.292271	302.624329	594.816772
YAL033W	POP5	I	+	82706	83227	2.628352	615.508118	1209.798828
YAL032C	PRP45	I	-	83335	84474	1.545614	361.952271	711.427551
YAL031W-A	YAL031W-A	I	+	84669	84977	0.396307	92.807266	182.415344
YAL031C	GIP4	I	-	84749	87031	1.740053	407.486084	800.925476
YAL030W	SNC1	I	+	87286	87752	5.539549	1297.252930	2549.787842
YAL029C	MYO4	I	-	87855	92270	4.097826	959.629944	1886.180054
YAL028W	FRT2	I	+	92900	94486	0.493384	115.540787	227.098724
YAL027W	SAW1	I	+	94687	95472	1.546747	362.217590	711.949036
YAL026C-A	YAL026C-A	I	-	95386	95823	1.652061	386.880035	760.423828
YAL026C	DRS2	I	-	95630	99697	4.161829	974.618164	1915.639893
HRA1	HRA1	I	+	99305	99868	0.271420	63.561203	124.931358
YAL025C	MAK16	I	-	100225	101145	3.205212	750.597412	1475.320557
YAL024C	LTE1	I	-	101565	105872	1.221913	286.147888	562.431885
YAL023C	PMT2	I	-	106272	108551	14.621651	3424.101807	6730.169922
YAL022C	FUN26	I	-	108877	110430	2.406044	563.447937	1107.473145
YAL021C	CCR4	I	-	110846	113359	4.230708	990.748291	1947.343994
YAL020C	ATS1	I	-	113614	114615	0.889222	208.238235	409.298187
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	3.313505	775.957458	1525.166504
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	3.030010	709.568542	1394.677124
YAL016C-B	YAL016C-B	I	-	124307	124492	1.510753	353.788513	695.381409
YAL016C-A	YAL016C-A	I	-	124755	125069	0.782766	183.308334	360.297791
YAL016W	TPD3	I	+	124879	126786	8.867101	2076.499756	4081.419922
YAL015C	NTG1	I	-	126903	128102	0.996667	233.399734	458.753845
YAL014C	SYN8	I	-	128252	129019	2.683594	628.444702	1235.226074
YAL013W	DEP1	I	+	129270	130487	1.486043	348.001923	684.007751
YAL012W	CYS3	I	+	130799	131983	21.544725	5045.349121	9916.778320
YAL011W	SWC3	I	+	132199	134076	1.384984	324.335907	637.491455
YAL010C	MDM10	I	-	134184	135665	0.914980	214.270233	421.154297
YAL009W	SPO7	I	+	135854	136633	1.921795	450.046448	884.579102
YAL008W	FUN14	I	+	136914	137510	3.539363	828.848877	1629.126221
YAL007C	ERP2	I	-	137698	138345	10.776235	2523.581299	4960.171387
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	321.716064	75339.546875	148082.031250
YAL004W	YAL004W	I	+	140760	141407	0.000000	0.000000	0.000000
YAL003W	EFB1	I	+	142174	143160	138.650558	32469.224609	63819.183594
snR18	snR18	I	+	142367	142468	7.245098	1696.658813	3334.831543
YAL002W	VPS8	I	+	143707	147531	0.836432	195.875854	384.999603
YAL001C	TFC3	I	-	147594	151166	2.082501	487.680603	958.550110
YAR002W	NUP60	I	+	152257	153876	3.998150	936.287781	1840.300415
YAR002C-A	ERP1	I	-	154065	154724	12.551516	2939.316895	5777.312012
YAR003W	SWD1	I	+	155005	156285	1.333333	312.240265	613.717163
YAR007C	RFA1	I	-	156754	158619	3.696409	865.625977	1701.412598
YAR008W	SEN34	I	+	158966	159793	1.811594	424.239532	833.854919
YAR009C	YAR009C	I	-	160597	164187	477.349487	111785.820312	219718.218750
YAR010C	YAR010C	I	-	164544	165866	493.982910	115681.039062	227374.390625
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	2.961385	693.497864	1363.089844
YAR015W	ADE1	I	+	169375	170295	8.026058	1879.544312	3694.297852
YAR018C	KIN3	I	-	170396	171703	1.155677	270.636719	531.944214
YAR019C	CDC15	I	-	172211	175135	1.229060	287.821594	565.721558
YAR019W-A	YAR019W-A	I	+	174998	175330	0.000000	0.000000	0.000000
YAR020C	PAU7	I	-	176856	177023	0.238095	55.757149	109.592262
YAR023C	YAR023C	I	-	179281	179820	0.236419	55.364662	108.820824
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.000000	0.000000	0.000000
YAR027W	UIP3	I	+	183770	184477	5.553672	1300.560181	2556.288330
YAR028W	YAR028W	I	+	184892	185596	2.015603	472.014435	927.757874
YAR029W	YAR029W	I	+	186321	186545	0.888889	208.160248	409.144928
YAR030C	YAR030C	I	-	186512	186853	0.000000	0.000000	0.000000
YAR031W	PRM9	I	+	186836	187732	1.913601	448.127563	880.807556
YAR033W	MST28	I	+	188107	188811	2.419149	566.516846	1113.505249
YAR035W	YAT1	I	+	190193	192256	0.243217	56.956619	111.949860
YAR035C-A	YAR035C-A	I	-	192337	192417	0.283951	66.495720	130.699234
YAR042W	SWH1	I	+	192619	196185	3.002243	703.066040	1381.896362
YAR047C	YAR047C	I	-	201467	201787	0.000000	0.000000	0.000000
YAR050W	FLO1	I	+	203403	208016	0.421497	98.706268	194.009995
YAR053W	YAR053W	I	+	208367	208663	0.127946	29.962429	58.892010
YAR060C	YAR060C	I	-	217157	217492	0.369048	86.423752	169.868362
