ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
YAL069W	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068W-A	255	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068C	363	4	4	0	0	11.0192837465565	234.712527616863	4	4	0	0	11.0192837465565	234.712527616863
YAL067W-A	228	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL067C	1782	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL066W	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL065C	387	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL064W-B	381	2	2	0	0	5.249343832021	111.811873392285	2	2	0	0	5.249343832021	111.811873392285
YAL064C-A	381	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL064W	285	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C-A	291	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C	3969	4	4	0	0	1.00781053162006	21.4665274691159	1	1	0	0	0.251952632905014	5.36663186727899
YAL062W	1374	5	5	0	0	3.63901018922853	77.5115061180142	5	5	0	0	3.63901018922853	77.5115061180142
YAL061W	1254	6	6	0	0	4.78468899521531	101.914650149427	6	6	0	0	4.78468899521531	101.914650149427
YAL060W	1149	32	32	0	0	27.8503046127067	593.215996692228	32	32	0	0	27.8503046127067	593.215996692228
YAL059C-A	423	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL059W	639	25	25	0	0	39.1236306729264	833.3396667148	25	25	0	0	39.1236306729264	833.3396667148
YAL058W	1509	31	31	0	0	20.5434062292909	437.577878275772	31	31	0	0	20.5434062292909	437.577878275772
YAL056C-A	351	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL056W	2643	42	42	0	0	15.8910329171396	338.481573595033	42	42	0	0	15.8910329171396	338.481573595033
YAL055W	543	3	3	0	0	5.52486187845304	117.680452382488	3	3	0	0	5.52486187845304	117.680452382488
YAL054C	2142	1	1	0	0	0.466853408029879	9.94405316584048	1	1	0	0	0.466853408029879	9.94405316584048
YAL053W	2352	76	76	0	0	32.312925170068	688.27053697853	76	76	0	0	32.312925170068	688.27053697853
YAL051W	3144	41	41	0	0	13.0407124681934	277.769286619097	41	41	0	0	13.0407124681934	277.769286619097
YAL049C	741	23	23	0	0	31.0391363022942	661.138627892438	23	23	0	0	31.0391363022942	661.138627892438
YAL048C	1989	10	10	0	0	5.02765208647562	107.089803324436	10	10	0	0	5.02765208647562	107.089803324436
YAL047W-A	330	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL047C	1869	15	15	0	0	8.02568218298556	170.948329704898	15	15	0	0	8.02568218298556	170.948329704898
YAL046C	357	10	10	0	0	28.0112044817927	596.643189950429	10	10	0	0	28.0112044817927	596.643189950429
YAL045C	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL044W-A	333	6	6	0	0	18.018018018018	383.786700562708	6	6	0	0	18.018018018018	383.786700562708
YAL044C	513	42	41	0.0238095238095238	1	81.8713450292398	1743.87290255687	42	41	0.0238095238095238	1	81.8713450292398	1743.87290255687
YAL043C	2358	45	45	0	0	19.0839694656489	406.491638954777	45	45	0	0	19.0839694656489	406.491638954777
YAL042C-A	378	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL042W	1248	111	110	0.00900900900900901	1	88.9423076923077	1894.48555193635	111	110	0.00900900900900901	1	88.9423076923077	1894.48555193635
YAL041W	2565	51	51	0	0	19.8830409356725	423.511990620953	51	51	0	0	19.8830409356725	423.511990620953
YAL040C	1743	43	43	0	0	24.6701090074584	525.477315486462	43	43	0	0	24.6701090074584	525.477315486462
YAL039C	810	9	9	0	0	11.1111111111111	236.668465347003	9	9	0	0	11.1111111111111	236.668465347003
YAL038W	1503	6991	6049	0.134744671720784	942	4651.36393878909	99074.8048647246	6889	5953	0.13586877631006	936	4583.499667332	97629.2848967369
YAL037C-B	975	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL037C-A	93	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL037W	804	1	1	0	0	1.24378109452736	26.4927386582466	1	1	0	0	1.24378109452736	26.4927386582466
YAL036C	1110	57	57	0	0	51.3513513513514	1093.79209660372	57	57	0	0	51.3513513513514	1093.79209660372
YAL035W	3009	409	405	0.0097799511002445	4	135.925556663343	2895.23636072555	409	405	0.0097799511002445	4	135.925556663343	2895.23636072555
YAL034C-B	354	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL034W-A	870	6	6	0	0	6.89655172413793	146.897668146416	6	6	0	0	6.89655172413793	146.897668146416
YAL034C	1242	12	12	0	0	9.66183574879227	205.798665519133	12	12	0	0	9.66183574879227	205.798665519133
YAL033W	522	10	10	0	0	19.1570881226054	408.049078184488	10	10	0	0	19.1570881226054	408.049078184488
YAL032C	1140	18	18	0	0	15.7894736842105	336.31834549311	18	18	0	0	15.7894736842105	336.31834549311
YAL031W-A	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL031C	2283	17	17	0	0	7.44634253175646	158.608301349503	17	17	0	0	7.44634253175646	158.608301349503
YAL030W	354	13	13	0	0	36.7231638418079	782.209334621452	13	13	0	0	36.7231638418079	782.209334621452
YAL029C	4416	150	150	0	0	33.9673913043478	723.510933465703	150	150	0	0	33.9673913043478	723.510933465703
YAL028W	1587	5	5	0	0	3.15059861373661	67.1082604953696	5	5	0	0	3.15059861373661	67.1082604953696
YAL027W	786	4	4	0	0	5.08905852417303	108.39777038794	4	4	0	0	5.08905852417303	108.39777038794
YAL026C-A	438	4	4	0	0	9.1324200913242	194.522026312605	4	4	0	0	9.1324200913242	194.522026312605
YAL026C	4068	125	125	0	0	30.7276302851524	654.503499300341	125	125	0	0	30.7276302851524	654.503499300341
HRA1	564	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL025C	921	27	27	0	0	29.3159609120521	624.43471313053	27	27	0	0	29.3159609120521	624.43471313053
YAL024C	4308	48	48	0	0	11.142061281337	237.327708983067	48	48	0	0	11.142061281337	237.327708983067
YAL023C	2280	272	268	0.0147058823529412	4	119.298245614035	2541.07194372572	272	268	0.0147058823529412	4	119.298245614035	2541.07194372572
YAL022C	1554	30	30	0	0	19.3050193050193	411.200036317187	30	30	0	0	19.3050193050193	411.200036317187
YAL021C	2514	89	88	0.0112359550561798	1	35.4017501988862	754.063010115154	87	86	0.0114942528735632	1	34.6062052505967	737.117773932791
YAL020C	1002	3	3	0	0	2.9940119760479	63.7729397641626	3	3	0	0	2.9940119760479	63.7729397641626
YAL019W-A	570	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL019W	3396	85	85	0	0	25.0294464075383	533.131260278143	85	85	0	0	25.0294464075383	533.131260278143
YAL018C	978	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL017W	4071	73	73	0	0	17.9317121100467	381.948370751612	71	71	0	0	17.4404323262098	371.48403182691
YAL016C-B	186	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016C-A	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016W	1908	116	116	0	0	60.7966457023061	1294.97839529492	116	116	0	0	60.7966457023061	1294.97839529492
YAL015C	1200	7	7	0	0	5.83333333333333	124.250944307177	7	7	0	0	5.83333333333333	124.250944307177
YAL014C	768	21	21	0	0	27.34375	582.426301439891	21	21	0	0	27.34375	582.426301439891
YAL013W	1218	10	10	0	0	8.21018062397373	174.878176364781	10	10	0	0	8.21018062397373	174.878176364781
YAL012W	1185	295	294	0.00338983050847458	1	248.945147679325	5302.5719451164	295	294	0.00338983050847458	1	248.945147679325	5302.5719451164
YAL011W	1878	18	18	0	0	9.58466453674121	204.154906209875	18	18	0	0	9.58466453674121	204.154906209875
YAL010C	1482	11	11	0	0	7.42240215924426	158.098367539496	11	11	0	0	7.42240215924426	158.098367539496
YAL009W	780	6	6	0	0	7.69230769230769	163.847399086387	6	6	0	0	7.69230769230769	163.847399086387
YAL008W	597	6	6	0	0	10.0502512562814	214.071978705832	6	6	0	0	10.0502512562814	214.071978705832
YAL007C	648	76	76	0	0	117.283950617284	2498.16713421837	74	74	0	0	114.197530864198	2432.4258938442
tP(UGG)A	72	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL005C	1929	4415	3940	0.107587768969422	475	2288.75064800415	48750.7593082591	4361	3886	0.108919972483375	475	2260.75686884396	48154.4872804797
YAL004W	648	1	1	0	0	1.54320987654321	32.8706201870838	1	1	0	0	1.54320987654321	32.8706201870838
YAL003W	621	968	902	0.0681818181818182	66	1558.77616747182	33202.1847037535	968	902	0.0681818181818182	66	1558.77616747182	33202.1847037535
snR18	102	15	13	0.133333333333333	2	147.058823529412	3132.37674723975	15	13	0.133333333333333	2	147.058823529412	3132.37674723975
YAL002W	3825	30	29	0.0333333333333333	1	7.84313725490196	167.06009318612	28	27	0.0357142857142857	1	7.3202614379085	155.922753640379
YAL001C	3483	30	30	0	0	8.61326442721792	183.463926625584	30	30	0	0	8.61326442721792	183.463926625584
YAR002W	1620	47	47	0	0	29.0123456790123	617.967659517175	47	47	0	0	29.0123456790123	617.967659517175
YAR002C-A	660	84	84	0	0	127.272727272727	2710.92969397477	84	84	0	0	127.272727272727	2710.92969397477
YAR003W	1281	18	18	0	0	14.0515222482436	299.299698565297	18	18	0	0	14.0515222482436	299.299698565297
YAR007C	1866	49	49	0	0	26.2593783494105	559.329009742918	49	49	0	0	26.2593783494105	559.329009742918
YAR008W	828	7	7	0	0	8.45410628019324	180.073832329242	7	7	0	0	8.45410628019324	180.073832329242
YAR009C	3591	18656	15724	0.157161234991424	2932	5195.21024784183	110658.819286057	18259	15350	0.159318692151816	2909	5084.65608465608	108303.997713557
YAR010C	1323	8031	6783	0.155397833395592	1248	6070.2947845805	129298.261578353	7764	6527	0.159325090159711	1237	5868.48072562358	124999.589452662
tA(UGC)A	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YAR014C	2130	56	56	0	0	26.2910798122066	560.004256032346	56	56	0	0	26.2910798122066	560.004256032346
YAR015W	921	55	55	0	0	59.7176981541802	1271.99663785849	54	54	0	0	58.6319218241042	1248.86942626106
YAR018C	1308	15	15	0	0	11.4678899082569	244.267911481999	15	15	0	0	11.4678899082569	244.267911481999
YAR019C	2925	20	20	0	0	6.83760683760684	145.642132521233	20	20	0	0	6.83760683760684	145.642132521233
YAR019W-A	333	0	0	NA	0	0	0	0	0	NA	0	0	0
