tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	590.27467	521.305092	286.722157	0	0
YAL068W-A	YAL068W-A	444.596902	0	867.726555	0	0
YAL068C	YAL068C	457.752216	1506.79262	2486.245597	362.824814	229.313707
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL067C	YAL067C	28.171848	66.684623	48.9028	14.942811	0
YAL066W	YAL066W	0	0	0	0	0
YAL065C	YAL065C	0	497.133037	0	0	0
YAL064W-B	YAL064W-B	210.776759	0	142.975349	111.418561	0
YAL064C-A	YAL064C-A	0	0	0	0	0
YAL064W	YAL064W	0	0	961.81677	0	0
YAL063C-A	YAL063C-A	0	780.27539	429.157985	0	0
YAL063C	YAL063C	55.648759	213.175017	66.724213	28.772676	13.435701
YAL062W	YAL062W	188.545643	818.01386	616.549443	260.00294	152.631568
YAL061W	YAL061W	1256.37127	644.440903	1529.722438	199.901095	211.872148
YAL060W	YAL060W	2271.89829	2007.610175	2375.076801	1057.362118	1360.394417
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	YAL059W	1642.647342	2013.45275	2022.237617	1690.111054	1952.652904
YAL058W	YAL058W	779.943272	730.297661	728.958571	701.45461	926.541418
YAL056C-A	YAL056C-A	0	337.183668	0	0	0
YAL056W	YAL056W	1120.460229	697.29506	1040.977727	701.528704	706.530241
YAL055W	YAL055W	727.886839	232.447876	319.620685	64.263361	244.847111
YAL054C	YAL054C	69.095947	233.983605	69.296197	61.084876	23.311889
YAL053W	YAL053W	2414.717961	2089.874496	2334.538685	1468.584936	1432.781023
YAL051W	YAL051W	580.454486	706.018255	770.159948	664.43734	603.04893
YAL049C	YAL049C	2064.950931	2566.158284	2479.501419	1431.364848	963.494111
YAL048C	YAL048C	449.423983	391.647468	495.439633	344.336973	252.706025
YAL047W-A	YAL047W-A	0	425.339403	0	0	0
YAL047C	YAL047C	534.605246	483.775862	462.749159	269.387918	378.747796
YAL046C	YAL046C	471.323605	954.765619	1225.301161	995.548667	1415.910544
YAL045C	YAL045C	0	1714.32433	314.297569	0	0
YAL044W-A	YAL044W-A	1332.915472	0	3157.803216	982.894298	798.709359
YAL044C	YAL044C	4349.721897	7509.922434	8759.551233	3280.763915	3322.613062
YAL043C	YAL043C	1307.84731	1082.349208	1199.487309	847.903436	924.553562
YAL042C-A	YAL042C-A	0	3349.658097	0	0	0
YAL042W	YAL042W	5937.77523	4552.175702	5461.286311	3752.227373	4346.205113
YAL041W	YAL041W	1156.933281	956.148986	1132.686007	895.391637	959.896969
YAL040C	YAL040C	981.573232	1003.589427	1154.145375	765.647163	1051.839233
YAL039C	YAL039C	637.881157	1398.630577	1304.394855	450.891435	358.350979
YAL038W	YAL038W	194500.176156	167369.801056	201154.465508	186323.759487	218509.041092
YAL037C-B	YAL037C-B	56.37017	12618.229587	77.502506	0	0
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037W	YAL037W	286.180618	307.343087	338.082532	151.715791	72.346267
YAL036C	YAL036C	2366.039999	2336.236317	3201.484339	2099.890204	2344.915029
YAL035W	YAL035W	6544.482088	5949.199665	5919.667032	6450.880489	6317.054071
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	YAL034W-A	518.488855	109.850368	755.232754	171.811214	393.316396
YAL034C	YAL034C	677.557173	549.25184	830.756029	247.054728	257.087455
YAL033W	YAL033W	1670.169946	1502.365315	1652.626955	1224.732509	906.994166
YAL032C	YAL032C	655.129202	535.674829	778.653456	446.717152	615.478866
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL031C	YAL031C	816.844937	670.016997	663.326905	410.483303	326.365886
YAL030W	YAL030W	3349.424006	4584.06967	7203.647498	1893.69749	1915.304479
YAL029C	YAL029C	1904.658133	1446.829007	1614.015411	1367.991448	1505.736429
YAL028W	YAL028W	288.409404	203.76134	266.167294	67.988001	129.719883
YAL027W	YAL027W	736.307603	698.861482	698.8721	195.164667	148.905771
YAL026C-A	YAL026C-A	2014.344247	2173.634919	1893.975706	1295.585177	905.586386
YAL026C	YAL026C	1421.949825	1421.909161	1545.226943	1115.457943	1458.842202
HRA1	HRA1	0	930.439317	0	0	0
YAL025C	YAL025C	1147.921076	1471.765737	1563.140462	1601.695878	1283.368144
YAL024C	YAL024C	537.99653	436.36962	456.936285	401.884222	511.300586
YAL023C	YAL023C	6500.992515	5418.3829	6080.256099	4932.798194	5316.426287
YAL022C	YAL022C	1377.975074	940.130447	1235.245716	939.69933	896.457809
YAL021C	YAL021C	2034.749951	1534.217586	1679.392118	1397.989688	1549.608295
YAL020C	YAL020C	654.547648	231.200054	448.319019	347.119696	110.357978
YAL019W-A	YAL019W-A	0	308.020225	0	0	0
YAL019W	YAL019W	1422.315602	1201.510215	1416.937628	1389.462149	1197.473899
YAL018C	YAL018C	0	0	0	0	0
YAL017W	YAL017W	1164.63658	1015.993712	1029.37769	623.990925	707.411019
YAL016C-B	YAL016C-B	0	4546.528198	0	0	0
YAL016C-A	YAL016C-A	0	7297.698006	0	0	0
YAL016W	YAL016W	3867.366139	3163.024122	3682.693453	2688.923164	2750.490785
YAL015C	YAL015C	528.865632	430.150915	552.035394	186.992178	267.550828
