Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL068C	PAU8	I	-	1807	2169	1.303030	161.982315	394.408020
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.000000	0.000000	0.000000
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.000000	0.000000	0.000000
YAL064W-B	YAL064W-B	I	+	12046	12426	0.246719	30.670143	74.678215
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.062610	7.783176	18.951126
YAL062W	GDH3	I	+	31567	32940	0.529112	65.774986	160.154419
YAL061W	BDH2	I	+	33448	34701	0.721691	89.714882	218.445251
YAL060W	BDH1	I	+	35155	36303	4.543081	564.759644	1375.123779
YAL059C-A	YAL059C-A	I	-	36496	36918	0.013474	1.674980	4.078382
YAL059W	ECM1	I	+	36509	37147	5.994211	745.152588	1814.359497
YAL058W	CNE1	I	+	37464	38972	3.302850	410.584015	999.724121
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	2.441165	303.466187	738.904724
YAL055W	PEX22	I	+	42177	42719	0.764273	95.008331	231.334198
YAL054C	ACS1	I	-	42881	45022	0.094304	11.723123	28.544434
YAL053W	FLC2	I	+	45899	48250	4.874574	605.968262	1475.461914
YAL051W	OAF1	I	+	48564	51707	2.045642	254.297913	619.185730
YAL049C	AIM2	I	-	51855	52595	3.831309	476.277832	1159.680908
YAL048C	GEM1	I	-	52801	54789	0.870287	108.187149	263.423065
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.295880	161.093475	392.243805
YAL046C	AIM1	I	-	57029	57385	3.717087	462.078644	1125.107544
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	1.648649	204.946915	499.021820
YAL044C	GCV3	I	-	57950	58462	11.543859	1435.040527	3494.156250
YAL043C	PTA1	I	-	58695	61052	3.027990	376.415619	916.528015
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	13.767227	1711.432129	4167.137207
YAL041W	CDC24	I	+	62840	65404	3.171930	394.309082	960.096558
YAL040C	CLN3	I	-	65778	67520	3.628227	451.032288	1098.210938
YAL039C	CYC3	I	-	68716	69525	1.349383	167.744553	408.438385
YAL038W	CDC19	I	+	71786	73288	727.723206	90464.757812	220271.109375
YAL037C-B	YAL037C-B	I	-	72326	73300	4.302027	534.793762	1302.160278
YAL037C-A	YAL037C-A	I	-	73426	73518	0.000000	0.000000	0.000000
YAL037W	YAL037W	I	+	74020	74823	0.179104	22.264784	54.212147
YAL036C	RBG1	I	-	75043	76152	7.456982	926.992615	2257.118896
YAL035W	FUN12	I	+	76427	79435	21.771021	2706.399902	6589.767578
YAL034C-B	YAL034C-B	I	-	79489	79842	0.000000	0.000000	0.000000
YAL034W-A	MTW1	I	+	79718	80587	1.096552	136.314621	331.910156
YAL034C	FUN19	I	-	80710	81951	1.300322	161.645676	393.588348
YAL033W	POP5	I	+	82706	83227	2.666667	331.498810	807.160889
YAL032C	PRP45	I	-	83335	84474	2.594737	322.557068	785.388733
YAL031W-A	YAL031W-A	I	+	84669	84977	0.000000	0.000000	0.000000
YAL031C	GIP4	I	-	84749	87031	1.172361	145.738571	354.856445
YAL030W	SNC1	I	+	87286	87752	5.666667	704.434937	1715.216797
YAL029C	MYO4	I	-	87855	92270	5.342844	664.179810	1617.200317
YAL028W	FRT2	I	+	92900	94486	0.478261	59.453598	144.762573
YAL027W	SAW1	I	+	94687	95472	0.765903	95.210960	231.827576
YAL026C-A	YAL026C-A	I	-	95386	95823	1.835431	228.166168	555.557983
YAL026C	DRS2	I	-	95630	99697	5.084134	632.019043	1538.892578
HRA1	HRA1	I	+	99305	99868	0.000000	0.000000	0.000000
YAL025C	MAK16	I	-	100225	101145	3.925081	487.934814	1188.064331
YAL024C	LTE1	I	-	101565	105872	1.768338	219.825684	535.249878
YAL023C	PMT2	I	-	106272	108551	18.690788	2323.489746	5657.426758
YAL022C	FUN26	I	-	108877	110430	3.058136	380.163116	925.652771
YAL021C	CCR4	I	-	110846	113359	5.360581	666.384766	1622.569092
YAL020C	ATS1	I	-	113614	114615	0.363273	45.159206	109.957397
YAL019W-A	YAL019W-A	I	+	114250	114819	0.000000	0.000000	0.000000
YAL019W	FUN30	I	+	114919	118314	3.940224	489.817261	1192.647827
YAL018C	LDS1	I	-	118564	119541	0.000000	0.000000	0.000000
YAL017W	PSK1	I	+	120225	124295	2.671579	332.109406	808.647644
YAL016C-B	YAL016C-B	I	-	124307	124492	0.000000	0.000000	0.000000
YAL016C-A	YAL016C-A	I	-	124755	125069	0.000000	0.000000	0.000000
YAL016W	TPD3	I	+	124879	126786	9.377358	1165.718628	2838.388428
YAL015C	NTG1	I	-	126903	128102	1.005833	125.037155	304.450867
YAL014C	SYN8	I	-	128252	129019	4.260417	529.621094	1289.565552
YAL013W	DEP1	I	+	129270	130487	1.145320	142.377075	346.671509
YAL012W	CYS3	I	+	130799	131983	37.913078	4713.052246	11475.731445
YAL011W	SWC3	I	+	132199	134076	1.522364	189.248169	460.797180
YAL010C	MDM10	I	-	134184	135665	1.139676	141.675446	344.963165
YAL009W	SPO7	I	+	135854	136633	0.916667	113.952744	277.461609
YAL008W	FUN14	I	+	136914	137510	1.350921	167.935745	408.903931
YAL007C	ERP2	I	-	137698	138345	15.101853	1877.342163	4571.108887
tP(UGG)A	TRN1	I	+	139152	139254	0.000000	0.000000	0.000000
YAL005C	SSA1	I	-	139503	141431	362.479126	45060.519531	109717.101562
YAL004W	YAL004W	I	+	140760	141407	0.104200	12.953314	31.539808
YAL003W	EFB1	I	+	142174	143160	224.128830	27861.910156	67840.500000
snR18	snR18	I	+	142367	142468	17.598040	2187.648193	5326.667969
YAL002W	VPS8	I	+	143707	147531	1.193464	148.361954	361.243988
YAL001C	TFC3	I	-	147594	151166	1.380132	171.567017	417.745667
YAR002W	NUP60	I	+	152257	153876	4.483333	557.332275	1357.038940
YAR002C-A	ERP1	I	-	154065	154724	19.628031	2440.000488	5941.116211
YAR003W	SWD1	I	+	155005	156285	1.970336	244.936478	596.391724
YAR007C	RFA1	I	-	156754	158619	3.866560	480.659943	1170.350830
YAR008W	SEN34	I	+	158966	159793	0.937198	116.504990	283.676056
YAR009C	YAR009C	I	-	160597	164187	784.908081	97573.523438	237580.140625
YAR010C	YAR010C	I	-	164544	165866	863.643799	107361.320312	261412.265625
tA(UGC)A	TGA1	I	+	166267	166339	0.000000	0.000000	0.000000
YAR014C	BUD14	I	-	166742	168871	4.014554	499.057404	1215.146484
YAR015W	ADE1	I	+	169375	170295	8.289631	1030.500854	2509.149414
YAR018C	KIN3	I	-	170396	171703	1.699541	211.273407	514.426086
YAR019C	CDC15	I	-	172211	175135	1.107692	137.699448	335.282074
YAR019W-A	YAR019W-A	I	+	174998	175330	0.000000	0.000000	0.000000
YAR020C	PAU7	I	-	176856	177023	0.857143	106.553192	259.444580
YAR023C	YAR023C	I	-	179281	179820	0.201852	25.092632	61.097633
tL(CAA)A	SUP56	I	+	181141	181254	0.000000	0.000000	0.000000
tS(AGA)A	tS(AGA)A	I	-	182522	182603	0.000000	0.000000	0.000000
YAR027W	UIP3	I	+	183770	184477	6.488700	806.623474	1964.034058
YAR028W	YAR028W	I	+	184892	185596	3.509220	436.238251	1062.189331
YAR029W	YAR029W	I	+	186321	186545	0.000000	0.000000	0.000000
YAR030C	YAR030C	I	-	186512	186853	0.000000	0.000000	0.000000
YAR031W	PRM9	I	+	186836	187732	1.461911	181.733124	442.498962
YAR033W	MST28	I	+	188107	188811	1.377065	171.185745	416.817322
YAR035W	YAT1	I	+	190193	192256	0.160853	19.995962	48.687836
YAR035C-A	YAR035C-A	I	-	192337	192417	0.000000	0.000000	0.000000
YAR042W	SWH1	I	+	192619	196185	3.483319	433.018494	1054.349487
YAR047C	YAR047C	I	-	201467	201787	0.000000	0.000000	0.000000
YAR050W	FLO1	I	+	203403	208016	0.254100	31.587688	76.912331
