Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL069W	YAL069W	I	+	335	649	0.000000	0.000000	0.000000
YAL068W-A	YAL068W-A	I	+	538	792	0.607843	73.923973	180.287643
YAL068C	PAU8	I	-	1807	2169	1.134986	138.033463	336.639496
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.115413	14.036169	34.231762
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.191215	23.254971	56.714813
YAL064W-B	YAL064W-B	I	+	12046	12426	0.531059	64.585747	157.513336
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.175484	21.341818	52.048962
YAL062W	GDH3	I	+	31567	32940	0.562955	68.464836	166.973755
YAL061W	BDH2	I	+	33448	34701	4.182082	508.611816	1240.415283
YAL060W	BDH1	I	+	35155	36303	7.742820	941.657593	2296.538330
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	5.414711	658.520264	1606.015869
YAL058W	CNE1	I	+	37464	38972	2.605923	316.924194	772.922791
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	3.898978	474.181549	1156.445923
YAL055W	PEX22	I	+	42177	42719	2.303867	280.189148	683.332275
YAL054C	ACS1	I	-	42881	45022	0.401961	48.885242	119.222565
YAL053W	FLC2	I	+	45899	48250	8.182188	995.092224	2426.855957
YAL051W	OAF1	I	+	48564	51707	2.000636	243.311127	593.393311
YAL049C	AIM2	I	-	51855	52595	8.186910	995.666443	2428.256348
YAL048C	GEM1	I	-	52801	54789	1.686275	205.079498	500.153076
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.755484	213.496490	520.680603
YAL046C	AIM1	I	-	57029	57385	1.554622	189.068298	461.104492
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	4.924925	598.954041	1460.744141
YAL044C	GCV3	I	-	57950	58462	13.306043	1618.239380	3946.603271
