ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
YAL069W	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068W-A	255	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL068C	363	3	3	0	0	8.26446280991735	174.961106146104	3	3	0	0	8.26446280991735	174.961106146104
YAL067W-A	228	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL067C	1782	1	1	0	0	0.561167227833894	11.8800751086861	1	1	0	0	0.561167227833894	11.8800751086861
YAL066W	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL065C	387	1	1	0	0	2.58397932816537	54.7036016632521	0	0	NA	0	0	0
YAL064W-B	381	1	1	0	0	2.6246719160105	55.565075705193	1	1	0	0	2.6246719160105	55.565075705193
YAL064C-A	381	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL064W	285	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C-A	291	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL063C	3969	7	7	0	0	1.7636684303351	37.3373789130133	3	3	0	0	0.755857898715041	16.0017338198628
YAL062W	1374	5	5	0	0	3.63901018922853	77.0389150061083	5	5	0	0	3.63901018922853	77.0389150061083
YAL061W	1254	32	32	0	0	25.518341307815	540.230783889724	32	32	0	0	25.518341307815	540.230783889724
YAL060W	1149	54	54	0	0	46.9973890339426	994.94853573424	54	54	0	0	46.9973890339426	994.94853573424
YAL059C-A	423	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL059W	639	24	24	0	0	37.5586854460094	795.128407274312	24	24	0	0	37.5586854460094	795.128407274312
YAL058W	1509	25	25	0	0	16.5672630881378	350.733827761407	25	25	0	0	16.5672630881378	350.733827761407
YAL056C-A	351	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL056W	2643	62	62	0	0	23.4581914491109	496.616806018944	62	62	0	0	23.4581914491109	496.616806018944
YAL055W	543	9	9	0	0	16.5745856353591	350.888848237766	9	9	0	0	16.5745856353591	350.888848237766
YAL054C	2142	6	6	0	0	2.80112044817927	59.3005429794917	6	6	0	0	2.80112044817927	59.3005429794917
YAL053W	2352	125	123	0.016	2	53.1462585034014	1125.12190920911	121	119	0.0165289256198347	2	51.4455782312925	1089.11800811442
YAL051W	3144	41	41	0	0	13.0407124681934	276.075714882577	40	40	0	0	12.7226463104326	269.34216086105
YAL049C	741	43	43	0	0	58.029689608637	1228.5055806723	41	41	0	0	55.3306342780027	1171.36578622243
YAL048C	1989	21	21	0	0	10.5580693815988	223.517431230392	21	21	0	0	10.5580693815988	223.517431230392
YAL047W-A	330	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL047C	1869	21	21	0	0	11.2359550561798	237.868470153692	21	21	0	0	11.2359550561798	237.868470153692
YAL046C	357	4	4	0	0	11.2044817927171	237.202171917967	4	4	0	0	11.2044817927171	237.202171917967
YAL045C	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL044W-A	333	12	12	0	0	36.036036036036	762.893471844272	12	12	0	0	36.036036036036	762.893471844272
YAL044C	513	49	48	0.0204081632653061	1	95.5165692007797	2022.11383692056	49	48	0.0204081632653061	1	95.5165692007797	2022.11383692056
YAL043C	2358	72	72	0	0	30.5343511450382	646.421186066521	72	72	0	0	30.5343511450382	646.421186066521
YAL042C-A	378	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL042W	1248	161	159	0.0124223602484472	2	129.00641025641	2731.10361284635	161	159	0.0124223602484472	2	129.00641025641	2731.10361284635
YAL041W	2565	70	70	0	0	27.2904483430799	577.746810548732	70	70	0	0	27.2904483430799	577.746810548732
YAL040C	1743	38	38	0	0	21.8014916810098	461.54398511749	38	38	0	0	21.8014916810098	461.54398511749
YAL039C	810	13	13	0	0	16.0493827160494	339.770148108421	13	13	0	0	16.0493827160494	339.770148108421
YAL038W	1503	6254	5400	0.136552606331948	854	4161.01131071191	88089.8321346412	6240	5386	0.136858974358974	854	4151.69660678643	87892.6371154718
YAL037C-B	975	1	1	0	0	1.02564102564103	21.7131218909524	1	1	0	0	1.02564102564103	21.7131218909524
YAL037C-A	93	1	1	0	0	10.752688172043	227.637568211597	1	1	0	0	10.752688172043	227.637568211597
YAL037W	804	6	6	0	0	7.46268656716418	157.987267490138	6	6	0	0	7.46268656716418	157.987267490138
YAL036C	1110	68	68	0	0	61.2612612612613	1296.91890213526	66	66	0	0	59.4594594594595	1258.77422854305
YAL035W	3009	434	432	0.00460829493087558	2	144.23396477235	3053.47541646942	428	426	0.00467289719626168	2	142.239946826188	3011.26147061961
YAL034C-B	354	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL034W-A	870	9	9	0	0	10.3448275862069	219.003039762192	9	9	0	0	10.3448275862069	219.003039762192
YAL034C	1242	22	22	0	0	17.7133655394525	374.997153430699	22	22	0	0	17.7133655394525	374.997153430699
YAL033W	522	13	13	0	0	24.904214559387	527.22954016824	13	13	0	0	24.904214559387	527.22954016824
YAL032C	1140	17	17	0	0	14.9122807017544	315.697364335557	17	17	0	0	14.9122807017544	315.697364335557
YAL031W-A	309	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL031C	2283	43	43	0	0	18.8348664038546	398.73965627603	41	41	0	0	17.9588261060009	380.193625751564
YAL030W	354	19	19	0	0	53.6723163841808	1136.25870912399	19	19	0	0	53.6723163841808	1136.25870912399
YAL029C	4416	187	187	0	0	42.3460144927536	896.477569920265	187	187	0	0	42.3460144927536	896.477569920265
YAL028W	1587	9	9	0	0	5.6710775047259	120.058377185323	9	9	0	0	5.6710775047259	120.058377185323
YAL027W	786	12	12	0	0	15.2671755725191	323.21059303326	12	12	0	0	15.2671755725191	323.21059303326
YAL026C-A	438	9	9	0	0	20.5479452054795	435.006037883806	9	9	0	0	20.5479452054795	435.006037883806
YAL026C	4068	124	124	0	0	30.4818092428712	645.30885855854	124	124	0	0	30.4818092428712	645.30885855854
HRA1	564	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL025C	921	24	24	0	0	26.0586319218241	551.668894949278	24	24	0	0	26.0586319218241	551.668894949278
YAL024C	4308	51	51	0	0	11.8384401114206	250.623255809565	51	51	0	0	11.8384401114206	250.623255809565
YAL023C	2280	339	334	0.0147492625368732	5	148.684210526316	3147.68842675747	339	334	0.0147492625368732	5	148.684210526316	3147.68842675747
YAL022C	1554	44	44	0	0	28.3140283140283	599.416299306214	44	44	0	0	28.3140283140283	599.416299306214
YAL021C	2514	121	121	0	0	48.1304693715195	1018.93617942924	121	121	0	0	48.1304693715195	1018.93617942924
YAL020C	1002	14	14	0	0	13.9720558882236	295.792528753992	14	14	0	0	13.9720558882236	295.792528753992
YAL019W-A	570	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL019W	3396	107	107	0	0	31.5076560659599	667.026337241933	105	105	0	0	30.9187279151943	654.558555237411
YAL018C	978	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL017W	4071	110	110	0	0	27.0203881110292	572.029556080727	107	107	0	0	26.2834684352739	556.428750005798
YAL016C-B	186	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016C-A	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL016W	1908	160	159	0.00625	1	83.8574423480084	1775.28669548667	160	159	0.00625	1	83.8574423480084	1775.28669548667
YAL015C	1200	14	14	0	0	11.6666666666667	246.986761509583	14	14	0	0	11.6666666666667	246.986761509583
YAL014C	768	19	19	0	0	24.7395833333333	523.744248736839	19	19	0	0	24.7395833333333	523.744248736839
YAL013W	1218	11	11	0	0	9.0311986863711	191.19312995112	11	11	0	0	9.0311986863711	191.19312995112
YAL012W	1185	312	305	0.0224358974358974	7	263.291139240506	5573.9507841584	310	303	0.0225806451612903	7	261.603375527426	5538.2203304138
YAL011W	1878	13	13	0	0	6.92225772097977	146.546230014814	13	13	0	0	6.92225772097977	146.546230014814
YAL010C	1482	16	16	0	0	10.7962213225371	228.559177799499	14	14	0	0	9.44669365721997	199.989280574561
YAL009W	780	22	22	0	0	28.2051282051282	597.11085200119	22	22	0	0	28.2051282051282	597.11085200119
YAL008W	597	17	17	0	0	28.4757118927973	602.839188178451	17	17	0	0	28.4757118927973	602.839188178451
YAL007C	648	74	74	0	0	114.197530864198	2417.59528461761	74	74	0	0	114.197530864198	2417.59528461761
tP(UGG)A	72	0	0	NA	0	0	0	0	0	NA	0	0	0
YAL005C	1929	6461	5659	0.124129391735026	802	3349.40383618455	70907.8634131711	6388	5588	0.125234815278647	800	3311.56039398652	70106.7066217826
YAL004W	648	1	1	0	0	1.54320987654321	32.6702065488867	1	1	0	0	1.54320987654321	32.6702065488867
YAL003W	621	856	803	0.0619158878504673	53	1378.42190016103	29181.5966669708	854	801	0.0620608899297424	53	1375.20128824477	29113.415366347
snR18	102	5	4	0.2	1	49.0196078431373	1037.75950214111	5	4	0.2	1	49.0196078431373	1037.75950214111
YAL002W	3825	39	39	0	0	10.1960784313726	215.85397644535	39	39	0	0	10.1960784313726	215.85397644535
YAL001C	3483	56	56	0	0	16.0780935974734	340.37796590468	56	56	0	0	16.0780935974734	340.37796590468
YAR002W	1620	67	67	0	0	41.358024691358	875.561535510162	67	67	0	0	41.358024691358	875.561535510162
YAR002C-A	660	91	91	0	0	137.878787878788	2918.93445420416	89	89	0	0	134.848484848485	2854.78204861726
YAR003W	1281	30	30	0	0	23.4192037470726	495.791424910505	30	30	0	0	23.4192037470726	495.791424910505
YAR007C	1866	66	66	0	0	35.3697749196142	748.788528233003	66	66	0	0	35.3697749196142	748.788528233003
YAR008W	828	14	14	0	0	16.9082125603865	357.951828274758	14	14	0	0	16.9082125603865	357.951828274758
YAR009C	3591	17929	15234	0.150315131909197	2695	4992.7596769702	105698.189452329	17500	14831	0.152514285714286	2669	4873.29434697856	103169.073312274
YAR010C	1323	7511	6420	0.145253628012249	1091	5677.24867724868	120189.02272099	7210	6139	0.148543689320388	1071	5449.73544973545	115372.500841211
tA(UGC)A	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YAR014C	2130	65	65	0	0	30.5164319248826	646.041830910378	65	65	0	0	30.5164319248826	646.041830910378
YAR015W	921	65	65	0	0	70.5754614549403	1494.1032571543	65	65	0	0	70.5754614549403	1494.1032571543
YAR018C	1308	25	25	0	0	19.1131498470948	404.630998541257	25	25	0	0	19.1131498470948	404.630998541257
